Temperatura;Condutividade Elétirca ;Turbidez;Sólidos Totais Dissolvidos;Cor Verdadeira;Oxigenio Dissolvido;Demanda Bioquímica de Oxigênio ;pH;Nitrogênio - Amônia;Nitrogênio - Nitrito;Nitrogênio - Nitrato;Orgânico;Fósforo Total;Cloretos;Metais - Ferro Total;Metais - Manganês;Metais - Zinco Total;Metais - Cromo Total;Metais - Aluminio Total;Metais -  Cobre Total;Alcalinidade - Carbonato;Alcalinidade - Bicarbonato;Alcalinidade - Total;Dureza - Calcio;Dureza - Magnésio;Dureza - Total;Sulfato;Sódio;Potássio;Glifosato;Coliformes Totais;Escherichia coli;Sólidos Suspensos Totais;Sólidos Suspensos fixos;Sólidos Suspensos Orgânicos;Sólidos Totais Sedimentares;Residuos Totais;Clorofila;Salinidade
29.75;18;7;12;3;7.26;1.55;7.46;379;0.01;0.2;1.87;0.005;8.5;0.32;102;0.09;0.02;18;-0.03;0;22;22;7.56;20.16;27.72;113;6.421;1.891;0.006;1119.9;3.1;NaN;NaN;NaN;0.1;41;0.2;0
32.17;21;6.1;14;35;8.16;3.3;7.35;0.35;0.01;0.2;1.87;0.005;8.98;0.36;0.11;0.08;0.02;9;0.04;0;24;24;10.08;2.52;12.6;0.1;7.87;1.201;0.006;2419.6;0;12;11.6;0.4;0.1;16;0.2;0
30.21;25;15.2;17;47;8.21;0.18;7.39;1.149;0.01;0.2;0.93;0.005;8.5;0.57;144;0.1;0.01;19;0.02;0;26;26;15.12;12.6;27.72;0.1;6.603;1.151;0.006;1986.3;13.5;NaN;NaN;NaN;0.1;6;0.2;0
30.45;37;12.6;24;122;8.36;0.41;7.23;732;0.01;0.2;2.8;0.005;9.23;0.27;179;0.07;0;0.13;0.02;0;38;38;20.16;15.12;35.28;201;7.042;1.639;0.006;2419.6;25.9;5.2;4.8;0.4;0.1;25;0.2;0
29.82;20;26.2;13;25;8.59;0.75;7.23;501;0.01;0.2;1.87;0.005;9.71;0.85;192;0.04;0.02;38;0.05;0;26;26;12.6;7.56;20.16;0.1;7.111;1.065;0.006;2419.6;123.6;34;32.8;1.2;0.1;47;0.2;0
29.68;23;16.1;15;3;7.9;0.64;7.07;0.56;0.01;0.2;1.87;0.005;9.71;0.83;188;0.1;0.03;33;0.02;0;26;26;15.12;5.04;20.16;116;7.815;1.201;0.006;2419.6;29.4;44.4;43.2;1.2;0.1;39;0.2;0
30.7;12;1.9;8;86;80.06;1.96;7.92;0.008;0.1;7.139;6.53;0.005;7.28;0.29;53;0.1;6;9;0.07;0;10;10;15.12;17.64;32.76;227;4.021;733;0.006;2419.6;14.6;NaN;NaN;NaN;0.1;67;17.54;0
30.36;13;11;9;155;7.17;2.79;7.19;0.008;129;4.956;4.67;0.005;8.74;0.77;0.97;0.06;0.04;24;0.04;0;16;16;12.6;27.72;40.32;163;8.447;1.234;0.006;2419.6;2419.6;8.4;NaN;NaN;0.1;90;36.65;0
30.67;17;24.3;11;10;7.34;3.67;7.15;0.008;146;3.258;4.67;0.005;12.14;1.16;114;0.07;0.03;14;0.03;0;10;10;17.64;27.72;45.36;203;7.002;1.698;0.006;2419.6;42.2;34.8;21.6;13.2;0.1;1.0;75.47;0
30.32;17;19.4;1;18;10.1;3.93;6.97;0.008;135;4.486;5.6;0.005;16.27;1.23;116;0.16;0.02;27;0;0;14;14;15.12;12.6;27.72;0.1;6.983;1.716;0.006;2419.6;109.2;25.2;16.8;8.4;0.1;1.0;30.15;0
29.77;13;19.8;9;56;7.49;2;7.02;611;135;8.081;3.73;6;13.11;1.13;128;0.08;0.01;29;0.1;0;16;16;15.12;12.6;27.72;118;7.582;1.271;0.006;2419.6;80.1;30;16;14;0.1;36;42;0